,评论id,评论者id,评论时间,评论者姓名,评论者IP归属地,评论者粉籍,评论内容,fan_cnt,like_cnt
1186,5063864905892606,6453727140,2024-08-05 04:22:18,七十三个烤红薯,来自河北,loyal_fans,该解释的都解释了，说的很明白了还视而不见，跑这来当什么教育家，先管好自己吧，陈丽君已经出来引导粉丝了，大部分人也都听了，劝有些人不要太得寸进尺了,19,0
1187,5063864931058216,7906836728,2024-08-05 04:22:24,用户7906836728,来自河北,loyal_fans,永远永远充满正能量的君君,5,0
1188,5063864956224316,6654681861,2024-08-05 04:22:30,Janet1983_谢谢老天爷,来自四川,loyal_fans,陈丽君你最棒,7,0
1189,5063864202822665,5251201571,2024-08-05 04:19:31,坠落璀璨中,来自广东,loyal_fans,善待别人，是一种优秀的品德，善待自己，是一种优雅的力量。顺境时，想着去善待他人，帮助那些身陷逆境拼搏奋进的人，多行善事造福子孙；逆境时，要懂得善待自己，放平心态，每天不断激励自己取得的一点点成绩，成功就会越来越近；善待他人，可让人生多彩多姿；善待自己，可让生命活力四射,44,0
1190,5063864182112474,7925565659,2024-08-05 04:19:26,用户7925565659,来自北京,loyal_fans,宝宝晚安,0,0
1191,5063857978474802,7924237117,2024-08-05 03:54:46,梦里紫色的薰衣草pp,来自江苏,loyal_fans,宝宝，你太好了 “因为《定风波》与《浮生一白》的节目衔接希望要这两句过场。收到策划之初就和主办方确认过版权问题。”周深粉丝请道歉，版权在你家？倒是拿出来看看,0,0
1192,5063864167170751,6377036948,2024-08-05 04:19:22,迟迟不来嘛,来自江苏,loyal_fans,宝宝不是你的错,2,0
1193,5063858463703518,7929518612,2024-08-05 03:56:42,然田花花2023,来自安徽,loyal_fans,早点休息你有我们,9,0
1194,5063863241015587,5623169517,2024-08-05 04:15:41,dodododunut-,来自美国,,你粉丝嘴怎么这么硬呢？唱了几年了从来不标原曲，粉丝怎么好意思说宝宝没错,121,0
1195,5063858456625778,7752400579,2024-08-05 03:56:41,君宝给了我一道光,来自广东,loyal_fans,爱你,9,0
1196,5063858441421634,2144615995,2024-08-05 03:56:37,槛外人Cs,来自云南,loyal_fans,君君加油,0,0
1197,5063858433032602,7752400579,2024-08-05 03:56:35,君宝给了我一道光,来自广东,loyal_fans,宝贝晚安,9,0
1198,5063858420973643,7929518612,2024-08-05 03:56:31,然田花花2023,来自安徽,loyal_fans,早点休息，你有我们……,9,0
1199,5063858416255230,7933590610,2024-08-05 03:56:31,爱吃辣椒_238,来自内蒙古,,交给我们吧,0,0
1200,5063858389778895,6225007676,2024-08-05 03:56:25,END___喜剧之王,来自河北,loyal_fans,人善被人欺没工作室，没团队，也被人欺,120,0
1201,5063858379555557,7788057964,2024-08-05 03:56:22,奥兰多在平静水面,来自西班牙,loyal_fans,有那么些个脑子不清楚的男宝妈，如果你这么在意你哥哥的一句两句歌，你可以花钱啊！你花钱给哥哥做专辑啊买版权啊！闲的没事儿跑人家一位越剧演员这里找什么存在感,483,0
1202,5063858379293291,7933590610,2024-08-05 03:56:22,爱吃辣椒_238,来自内蒙古,,不要内耗 不要看那些不好的言论,0,0
1203,5063858374574562,2867147980,2024-08-05 03:56:21,_又蒔一年春,来自福建,loyal_fans,宝宝你最棒！喜欢喜欢,1342,0
1204,5063863622435326,6453727140,2024-08-05 04:17:12,七十三个烤红薯,来自河北,loyal_fans,自己没家吗，跑人家这里来汪汪汪,19,0
1205,5063858374312170,7713058671,2024-08-05 03:56:21,不会飞的小白同学,来自美国,loyal_fans,解释清楚了。君君老公最棒，不用这么有责任感，太累了。,987,0
1206,5063858272076409,7933590610,2024-08-05 03:55:57,爱吃辣椒_238,来自内蒙古,,君君你没有任何错,0,0
1207,5063858270241789,7925469794,2024-08-05 03:55:56,和大人剧场常相见,来自福建,loyal_fans,君君老师，你又熬夜了,3,0
1208,5063858165910121,1648193342,2024-08-05 03:55:31,榴小莲的冬天,来自湖北,,说的面面俱到 思虑周全 保护了每一个她能保护的人。只是希望她也能保护好自己，这一年注定是快速成长的一年，背后有支持她的戏迷朋友，相信她能走的更远。好好爱她。,401,0
1209,5063863873569343,5518240853,2024-08-05 04:18:12,12332rrr,来自湖北,loyal_fans,#陈丽君 浮生一白# 宝宝，我们在，爱你,0,0
1210,5063863915249799,7931328484,2024-08-05 04:18:22,真的是易如反掌,来自江苏,loyal_fans,你是最棒的！！！,0,0
1211,5063863945396297,7391300765,2024-08-05 04:18:28,用户7391300765,来自黑龙江,loyal_fans,君君你是真不怎么睡觉呀，不要在意那些流言，咱们不是人民币做不到每个人都喜欢，只要做好自己开心最重要,1,0
1212,5063863999398556,6795045654,2024-08-05 04:18:42,real随缘,来自江苏,loyal_fans,君君你是最棒的,16,0
1213,5063864016437591,7917819481,2024-08-05 04:18:46,旧港_c,来自广东,loyal_fans,说一万遍我的宝贝也没有错，我的小乖是最好的，晚安啦宝宝@陈丽君_点绛唇,63,0
1214,5063864045535595,5251201571,2024-08-05 04:18:53,坠落璀璨中,来自广东,loyal_fans,善待别人，是一种优秀的品德，善待自己，是一种优雅的力量。顺境时，想着去善待他人，帮助那些身陷逆境拼搏奋进的人，多行善事造福子孙；逆境时，要懂得善待自己，放平心态，每天不断激励自己取得的一点点成绩，成功就会越来越近；善待他人，可让人生多彩多姿；善待自己，可让生命活力四射。,44,0
1215,5063864052088960,6373419742,2024-08-05 04:18:55,棉花糖不见了诶,来自山东,loyal_fans,加油宝贝,1582,0
1216,5063864056283538,1722215822,2024-08-05 04:18:56,艾尔空特,来自安徽,loyal_fans,小宝快睡觉 明天又是新的一天,334,0
1217,5063864092197687,6034786683,2024-08-05 04:19:04,煝穆山河,来自四川,loyal_fans,君宝让你受委屈了，请你以后保护好你自已就可以了，你没有错不用道歉，某些物种是没有脑子的，这种物种就是先撩者自贱，但是不怕，星辰们会保护好你的,532,0
1218,5063864092459211,6373419742,2024-08-05 04:19:03,棉花糖不见了诶,来自山东,loyal_fans,早休息啊宝宝,1582,0
1219,5063864119198589,7925153764,2024-08-05 04:19:11,用户7925153764,来自湖北,loyal_fans,#陈丽君 浮生一白# 宝宝乖，快快睡,1,0
1220,5063864997905202,5890450204,2024-08-05 04:22:40,小宇宙搬运工_JL,来自河南,loyal_fans,真敞亮，世界因你而美好,183,0
1221,5063865052168432,5263461262,2024-08-05 04:22:53,不长心诶,来自四川,loyal_fans,姐姐你没有错，我们知道你只是爱星辰。别想太多，早点休息。往前走，莫回头。,35,0
1222,5063857072505345,1728155827,2024-08-05 03:51:11,超级阳光之软绵绵,来自湖北,loyal_fans,#陈丽君 浮生一白# 宝宝，爱你！,714,0
1223,5063857627726210,7920531829,2024-08-05 03:53:23,苯基乙胶_,来自浙江,loyal_fans,宝宝最棒最好了[好愛哦]@陈丽君_点绛唇,0,0
1224,5063857511596344,6264412088,2024-08-05 03:52:55,鸡腿小哭包,来自广东,loyal_fans,宝宝，照顾好自己，我们都爱你,3,0
1225,5063857506092384,5067176504,2024-08-05 03:52:54,I_Miss20,来自湖北,loyal_fans,宝宝唱的太好啦,51,0
1226,5063857498752911,2881283653,2024-08-05 03:52:52,就要辣椒了,来自山东,loyal_fans,宝宝很棒@陈丽君_点绛唇,2971,0
1227,5063857477518188,5322626939,2024-08-05 03:52:47,颖宝宝的破洞牛仔裤,来自河南,loyal_fans,大半夜的，让人睡的很安心。君君，辛苦啦！,40,0
1228,5063857475420633,6150422950,2024-08-05 03:52:47,用户6150422950,来自福建,loyal_fans,唱的很好 不是你的错    快去休息吧  很晚了,11,0
1229,5063857458643000,2461023272,2024-08-05 03:52:42,绝情的番茄茄,来自湖南,loyal_fans,君宝娱乐圈没有这么简单，你不必事事回应，没有人会感激你的,152,0
1230,5063857437410503,7903894654,2024-08-05 03:52:38,爱你没商量2865282,来自河南,loyal_fans,真是心疼君君，辛辛苦苦给大家演个节目又背了一次锅，粉丝行为正主又买了一次单，黑粉又来挑事，真是人红是非多，我们平民百姓想唱谁的歌，张口就来，从来没有想过唱别人的歌还要声明是唱谁的歌，以后再不唱歌，以免背上偷歌的罪名。,0,0
1231,5063857389700158,6875887213,2024-08-05 03:52:26,在听什么歌My-X,来自重庆,loyal_fans,君子坦荡荡 小人长戚戚,12,0
1232,5063857338581809,6611567703,2024-08-05 03:52:14,昼夜晓辰昏y,来自山东,loyal_fans,宝宝你没有错你是个正直有风骨的人,12,0
1233,5063857325998482,7287667020,2024-08-05 03:52:11,用户7287667020,来自河北,loyal_fans,加油唱的很好,0,0
1234,5063857305289588,5277635497,2024-08-05 03:52:06,我喜欢Clj,来自辽宁,loyal_fans,宝宝你最棒，快点睡觉吧,7,0
1235,5063857296638424,5647215196,2024-08-05 03:52:04,于是抱着星星穿过抹茶海,来自福建,loyal_fans,宝宝呀,774,0
1236,5063857290871807,7907712972,2024-08-05 03:52:03,君子之交淡如水522,来自广西,loyal_fans,宝宝，超棒的,2,0
1237,5063857284842956,2881283653,2024-08-05 03:52:01,就要辣椒了,来自山东,loyal_fans,你很棒,2971,0
1238,5063857279860825,7907249277,2024-08-05 03:51:59,用户7907249277,来自江苏,,不要有负担，谁没翻唱过，只是现在版权了。吃一堑长一智，小女孩请以后迈一步都要探探深浅，可能前方就是一个圈套。乘没有大戏，马上读书深造去吧，努力拼二年，做好传承文化课题，那个成果才是你自己的,0,0
1239,5063857279599483,3227341882,2024-08-05 03:52:00,想文艺一把的挫人,来自江西,loyal_fans,唱的很好，很棒希望以后能多听到君君唱越剧歌曲,57,0
1240,5063857267540420,1796043981,2024-08-05 03:51:57,放风筝的勇者,来自上海,loyal_fans,早点休息，一切都会变好的,97,0
1241,5063857263870528,7926413934,2024-08-05 03:51:56,爫马,来自广东,loyal_fans,君宝加油真的爱你，希望你越来越好,6,0
1242,5063857258889454,2881283653,2024-08-05 03:51:55,就要辣椒了,来自山东,loyal_fans,早休息,2971,0
1243,5063857255220974,7836502680,2024-08-05 03:51:54,不爱磕脑残CP,来自广东,loyal_fans,陈丽君超棒,35,0
1244,5063857234247698,6019864193,2024-08-05 03:51:48,林深霁晓,来自新疆,,你家粉丝真是饭圈毒瘤哈，用这种话辱骂女性，请你好好看看@陈丽君_点绛唇,494,0
1245,5063857233723738,2881283653,2024-08-05 03:51:49,就要辣椒了,来自山东,loyal_fans,宝宝,2971,0
1246,5063857231888431,7916457572,2024-08-05 03:51:48,用户7916457572,来自广西,,怎么这么好听,0,0
1247,5063857212490763,7924304527,2024-08-05 03:51:44,秀子-木点木,来自福建,loyal_fans,宝宝，你早点睡，大人的事，你管那么多，小心和地精那样长不高！虽然妈粉觉得你形象一下子很高大了@陈丽君_点绛唇,4,0
1248,5063857192566964,5124927399,2024-08-05 03:51:39,奶思兔米呦123,来自内蒙古,loyal_fans,君君加油,325,0
1249,5063857152459463,6064046054,2024-08-05 03:51:30,独饮回忆shine,来自江苏,loyal_fans,//@-----Helen-:君君唱的好好听,204,0
1250,5063857118643165,5659297728,2024-08-05 03:51:22,小狮子爱吃大闸蟹,来自江苏,loyal_fans,果然，还是饭圈文化最让人恶心，别想太多，你既然无法左右他人的想法，只有尽管做好自己就好了，无论是谁的毒唯都是乐色，不用管，反正也管不了。,95,0
1251,5063857514479969,5674886594,2024-08-05 03:52:56,把你位置发给我,来自江苏,loyal_fans,宝贝你唱的很好听,0,0
1252,5063857633230968,7766440587,2024-08-05 03:53:24,用户7766440587,来自河南,loyal_fans,陈丽君你是最棒的,0,0
1253,5063865061081756,6795045654,2024-08-05 04:22:55,real随缘,来自江苏,loyal_fans,宝贝走自己的路，莫听他人言,16,0
1254,5063857643192640,1923236542,2024-08-05 03:53:27,夹心小饼干带奶瓶,来自浙江,loyal_fans,理智粉还是很多的放心啦,95,0
1255,5063865144443151,7356295711,2024-08-05 04:23:15,陽陽要早睡_,来自浙江,loyal_fans,宝宝你今晚很棒，当然也要早点休息啦！！！,10,0
1256,5063865176162831,5263461262,2024-08-05 04:23:23,不长心诶,来自四川,loyal_fans,姐姐你没有错，我们知道你只是爱星辰。别想太多，早点休息。往前走，莫回头，我们一起走,35,0
1257,5063865182191848,2969884743,2024-08-05 04:23:24,KLDHM513,来自广西,loyal_fans,越剧传播真的挺难，火了之后就有各种各样的眼睛盯着，人红是非多，但是以后谨慎一点也是对的，还是尽量少碰ylq的东西吧… 陈老师加油,1289,0
1258,5063865184289123,6621582073,2024-08-05 04:23:25,关于戚薇_1026-全世界最好的宝宝,来自北京,loyal_fans,宝宝 不是你的错,801,0
1259,5063865217844146,7480340293,2024-08-05 04:23:33,一枚生_君,来自美国,loyal_fans,宝宝是最棒的 么么哒😘,1,0
1260,5063865266602569,2790729061,2024-08-05 04:23:44,心若溪明,来自河北,loyal_fans,不用道歉，你又没错,60,0
1261,5063865414975908,6523376669,2024-08-05 04:24:20,你说我是哪个时期的米,来自陕西,,浮生如梦，世事如烟,1,0
1262,5063865427559429,7515093175,2024-08-05 04:24:23,Ing蒼Y,来自浙江,loyal_fans,你是最棒的,2,0
1263,5063865484444002,2874992640,2024-08-05 04:24:36,鹊起Ava,来自陕西,loyal_fans,笨死了好笨，总是把所有事都扛在自己身上，你躲在我身后一次会怎样,421,0
