,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
381,5064902752863946,Helen_0810,7418436268,f,2024-08-08 01:06:20,华为畅享 10S,广东,干冰,False,,#陈丽君回复周深粉丝#第一次看如此新颖的宣传电影的方法，钱雷老师人在家中坐，歌就被偷了，心疼钱雷老师,14,0,0,12
382,5064902940559588,Z观点,5690470183,m,2024-08-08 01:07:05,HUAWEI Mate 30 5G,广东,反对台独疆独藏独占中港独等任何分裂国家破坏社会安定的组织和活动,False,,#陈丽君回复周深粉丝#按照@李星云JX 这位网友也有可能是陈丽君粉丝的说法，陈丽君在当时没有转发奔跑吧少年的官方视频，私自转发未标注原唱的视频，是不是侵权？因为版权方是授权奔跑吧少年制作方而非陈丽君本人，因为支付报酬的是奔跑吧少年制作方。 意思很明显制作方才有摄制权 改编权 信息网络传播权，陈丽君只有表演权。她私自剪辑了未标注原唱的视频并传播，是否得到版权方和制作方同意并授权？这种是不是叫着事实侵权？有哪位法律人士解析一下？,25,2,1,4.3万
383,5064903079755995,夏夜的小鱼饼干,7839908288,f,2024-08-08 01:07:37,Note 9,海南,你好！sb请滚谢谢～周末回私信ฅʕ•̫͡•ʔฅ,False,,#陈丽君回复周深粉丝#啥瓜没吃明白，留住生命的那些善良。一个人的生命可能不被时间留住的过长，但是有些东西，一定要珍藏。留住善良，让善良发自内心。因为善良不是张扬，是在寂寞之中。善良虽在一时一事，但却是内心长期的积淀。有善的支撑、爱的信念、生命才会灿烂。,0,1,0,1279
384,5064903282918313,你今天更卓越一点点了吗,5845866880,f,2024-08-08 01:08:27,OPPO A93 5G,山东,我不骂你不是你不欠骂，而是我有素质,False,,#陈丽君回复周深粉丝#每一首歌都是创作者的心血，是创作者的孩子，陈丽君的好友，著名作曲家陈少青怎么可以说“无所谓名字啦”，二位陈老师，您二位难道没有自己的孩子吗,88,4,1,5
385,5064903380960970,小欣壹点叻,6384925363,f,2024-08-08 01:08:50,见过周深版iPhone 15 Pro,贵州,无条件偏爱漂亮小猫揪星,True,超话粉丝大咖（周深超话）,#陈丽君回复周深粉丝#不是你们米姐真的不考虑出道吗，愿意给你们氪金的队伍又加一位，rs也有了，唱歌那么牛逼， 下次周深还得给你们递麦唱解密呢！收拾收拾出道一下吧！,26,1,0,60
386,5064903412941863,西瓜籽吞进去真的会长成西瓜,7525734386,f,2024-08-08 01:08:58,荣耀30青春版 5G,广东,来自C929星球，爱看小说和粥深的米吖 ps：只爱正版,False,,#陈丽君回复周深粉丝# 纵深红尘跃～解密一场～,14,0,0,20
387,5064903488439764,蓝精灵好吃嘛_,5247471422,m,2024-08-08 01:09:16,深米所愿皆成真,江苏,喜欢就好，不喜闭嘴，梦女，慎关，谢谢配合。（镇魂防搜,True,娱乐博主 超话粉丝大咖（周深超话） 微博剪辑视频博主,#陈丽君回复周深粉丝# 不懂就问，这个词条谁能给我《解密》一下，是陈丽君在追求周深粉丝吗,417,43,3,2609
388,5064903524614697,短巷的猫,7146675791,f,2024-08-08 01:09:23,C-929的Android,四川,万物温柔相依，我以渺小爱你💙,False,,"#陈丽君回复周深粉丝#
周深本周六周日南京万人演唱会，连唱两天📢
周深本周六周日南京万人演唱会，连唱两天📢
周深本周六周日南京万人演唱会，连唱两天📢
周深本周六周日南京万人演唱会，连唱两天📢
周深本周六周日南京万人演唱会，连唱两天📢
周深本周六周日南京万人演唱会，连唱两天📢",15,0,0,69
389,5064903587268295,Helen_0810,7418436268,f,2024-08-08 01:09:39,华为畅享 10S,广东,干冰,False,,#陈丽君回复周深粉丝#怎么这么爱回复周深粉丝啊，不见她回复自己粉丝,12,2,0,12
390,5064903659094933,一颗星星叫闪闪,5677486267,f,2024-08-08 01:09:56,我老婆所愿皆成真,山西,镇魂|真珠帘卷玉楼空，天淡银河垂地。,False,,"#陈丽君回复周深粉丝#
知道这是你们的营销手段了，但是能不能别拉无辜歌手出来给你们做yx了啊

周深演唱了同名主题曲《解密》并且电影《解密》票房大麦，我们也可以顺便支持一下《白蛇》的真的没有必要通过这种手段营销

“中国电影，有你有我，有周深”",47,0,1,65
391,5064903667482905,-清酒酒-,2676424894,f,2024-08-08 01:09:58,看我头像谢iPhone 12 Pro Max,山东,月亮那么亮是它的错吗？不，错的是不能容忍它发光的人。,True,超话粉丝大咖（周深超话）,#陈丽君回复周深粉丝# 发生了什么呢？怎么会这样呢？欢迎来电影院观看周老师演唱同名主题曲的电影《解密》,714,32,24,2.8万
392,5064903719126195,雨落卿尘1996,6765136173,f,2024-08-08 01:10:11,iQOO Z5 性能先锋,广东,,False,,#陈丽君回复周深粉丝#姐妹！高位热搜不用白不用啊快用起来！#周深献唱电影解密主题曲##周深唱云边有个小卖部主题曲#,22,0,0,8
393,5064903782302928,Angle颜浅浅,5890453167,f,2024-08-08 01:10:26,Redmi K40,四川,路要朝前走，人往未来看      正主：薛之谦  楼内：一代千玺，二代团偏126，三代苏新皓，四代陈浚铭杨博文 楼外属性：周深 鞠婧祎 院人,False,,#陈丽君回复周深粉丝#从说互关就开始蹭，现在电影要上了又开始蹭，你怎么知道我们宝宝百花奖还宣传了我们解密呀，请大家多多支持解密哦#电影解密#,71,4,0,412
