,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
85,5064118250249383,大道至简1370,5918681893,f,2024-08-05 21:09:00,梁山泊军师HarmonyOS设备,辽宁,取悦自己，开心生活……,False,,"#陈丽君回应周深粉丝#
陈丽君老师因为节目组要求唱了您两句歌词，这不是她要唱的，是节目组的要求！并且节目组有版权，为什么您的粉丝要这样去谩骂伤害一个越剧艺术家呢？说人偷歌真的合适吗？？？人家体面想息事宁人都下场道歉了，您的粉丝不依不挠的，请您下场管管粉丝，越剧要出圈不容易，不要这样对一个尽心尽力宣传越剧的艺术家这么过分！@卡布叻_周深",216,32,10,251
86,5064118299791613,可爱哒尚婉吖,6404583891,f,2024-08-05 21:09:12,vivo S15e,甘肃,相信日积月累，相信努力有回报，相信时光，相信自己选的路，相信我会有诗和远方,False,,#陈丽君回应周深粉丝#知道了已经到第三阶段了,18,2,2,1620
87,5064118346974993,歌坛专业乐评人,6451385006,m,2024-08-05 21:09:23,荣耀X20,山东,周深，周瑜，工藤新一激推＾3＾,False,,#陈丽君回应周深粉丝# 陈丽君粉丝说周深的那句辛苦了，他在引导，就是说有没有可能，周深很多每条微博都回复辛苦了叫你注意身体多喝水鼓励你。陈丽君粉丝太看得起自己了,91,26,0,137
88,5064118354581097,纸淋雨my,7332476739,f,2024-08-05 21:09:25,小琳所愿皆成真,福建,天天开心୧ (=^･𖥦･^=)🐾,True,娱乐博主,#陈丽君回应周深粉丝#观众对陈丽君的回应感到惊喜。网友们在评论区大量使用了诸如“哇塞哇塞”的惊叹语句，显示出他们对陈丽君回应周深粉丝的态度感到意外且赞赏。这种积极的情绪反应表明许多人并未预料到这样的回复，并对其表示肯定。,0,0,0,1.2万
89,5064118451570734,我想吃锅巴土豆,7209596594,f,2024-08-05 21:09:48,蚊子钻被窝,天津,我是我担的狗谁骂他我咬谁,True,娱乐博主 超话粉丝大咖（周深超话） 微博原创视频博主,#陈丽君回应周深粉丝#😭姐姐你不给我们一个解释我就一直哭一直哭😭@陈丽君_点绛唇 ，你回复受害艺人的粉丝，实质引导了粉丝对无辜小女孩网暴😭你知道她的私信有多脏吗陈姐姐😭，你的粉丝还对无辜粉丝dfxr，辱骂女性之后还说爽了😭姐姐你不给我们一个解释我就一直闹一直闹😭,8,0,0,1870
90,5064118539650502,Butterfly_Cluster,6500857994,f,2024-08-05 21:10:09,bui妈的Android,江苏,,True,超话粉丝大咖（BuildJakapan超话）,#陈丽君回应周深粉丝# 来看周深粉丝的素质，追个星连人都不做了，怪不得说你粉丝辛苦呢@卡布叻_周深,509,35,25,1.3万
91,5064118569273784,橙子来了oo,7759138736,m,2024-08-05 21:10:16,微博视频号,江苏,无雷，无粉籍，发现单曲拉黑！视频均来自于网络，如侵权私信博主删除,True,微博原创视频博主,清澈的眼神 呆萌的样子 手忙脚乱不知道下一个拍子的君君 真像一只呆萌的柴犬#陈丽君回应周深粉丝# 橙子来了oo的微博视频,32,5,0,1.6万
92,5064118583167453,小天真丶,3754160363,f,2024-08-05 21:10:20,iPhone 14 Pro,河南,炙热。,True,摄影博主 中国图库 签约摄影师 超话主持人（人文摄影超话）,#陈丽君回应周深粉丝# 艺人的粉丝请你们的嘴巴放干净一点，别来诽谤我们的艺术家🙂她没有团队没有公关不代表她身后没有人,28,2,0,332
93,5064118604406672,乱码96385,7504857246,f,2024-08-05 21:10:25,HUAWEI P40 5G,天津,闲了，无所事事。,False,,#陈丽君回应周深粉丝# 路过，好奇为什么说唱的几句是定风波就是偷歌，看了眼截图这词不就是定风波吗，出于苏轼的词，词牌名是定风波。当年小学还是初中看江南写的龙族里面有叫这名的歌，当时还没找到张学友唱的，先看到了词背了下来。 先说两个人都不怎么熟，这情况真是让人摸不清头脑。,79,42,1,6
94,5064118681211226,不知为不知是智也,6530036026,f,2024-08-05 21:10:43,OPPO Reno6 Pro+ 5G,浙江,不要关注,False,,#陈丽君回应周深粉丝# 原来是周深呀，那没事了，扯上周深家就是毒瘤，内娱撕百家，歌手圈人人喊打的，正常,294,16,13,4
